"id","attrition_flag","customer_age","gender","education_level","income_category","total_relationship_count","months_inactive_12_mon","credit_limit","total_revolving_bal","total_amt_chng_q4_q1","total_trans_amt","total_trans_ct","total_ct_chng_q4_q1","avg_utilization_ratio"
2586,0,54,"F","Unknown","Unknown",3,1,8294,696,0.806,4136,77,1.2,0.084
7192,0,39,"F","Unknown","Less than $40K",6,2,2722,1592,1.319,3205,49,0.633,0.585
1571,0,54,"M","Graduate","$120K +",2,1,34516,862,0.815,15034,111,0.762,0.025
5977,0,39,"M","Graduate","$60K - $80K",1,2,6146,0,0.577,3645,76,0.551,0
7442,1,49,"M","Uneducated","$60K - $80K",3,3,1960,0,0.493,2253,39,0.345,0
7833,0,47,"F","Doctorate","Less than $40K",3,0,4254,1204,0.538,5385,93,0.691,0.283
6788,0,45,"M","High School","$80K - $120K",3,2,34516,1495,0.52,3247,70,0.707,0.043
2397,0,41,"M","Uneducated","$40K - $60K",5,3,11107,1222,0.538,1506,33,0.941,0.11
2826,0,41,"M","Unknown","$80K - $120K",5,3,16954,1588,0.878,3411,60,0.875,0.094
7737,0,33,"F","High School","Unknown",6,2,12716,1496,1.032,2412,64,0.6,0.118
8480,0,62,"F","High School","$40K - $60K",4,1,4409,785,0.838,4160,61,0.649,0.178
487,0,39,"M","Uneducated","$40K - $60K",6,3,7723,1902,1.181,1241,22,1,0.246
10124,1,45,"M","College","$40K - $60K",4,3,4982,0,0.886,8586,58,1,0
4605,0,38,"F","Graduate","Less than $40K",2,3,15987,1766,0.791,8195,94,0.679,0.11
6645,0,36,"M","Graduate","$60K - $80K",4,3,28174,1173,0.779,16258,108,0.714,0.042
3205,0,51,"F","Graduate","Unknown",3,2,9352,1429,0.728,3536,71,0.69,0.153
6960,0,48,"F","Uneducated","Unknown",4,2,5495,2200,0.696,5125,85,0.771,0.4
377,1,53,"M","Unknown","$60K - $80K",2,2,5905,0,0.797,8883,83,0.729,0
3277,0,58,"F","High School","Unknown",6,2,2395,1345,0.811,4983,84,0.867,0.562
9968,0,55,"M","Unknown","$120K +",4,3,14938,0,0.49,1134,31,0.632,0
4257,1,49,"F","Uneducated","Less than $40K",6,3,3468,2517,0.746,2494,39,0.345,0.726
9464,0,57,"F","Unknown","Less than $40K",4,2,2494,1639,0.858,1555,39,0.625,0.657
8854,0,37,"M","College","$60K - $80K",6,3,15755,1410,0.839,2061,61,0.649,0.089
2798,0,47,"F","Unknown","Unknown",5,1,1634,1463,0.873,4397,72,0.565,0.895
9718,0,48,"F","High School","$40K - $60K",5,3,3871,2055,0.824,5480,58,0.933,0.531
9301,0,46,"M","Uneducated","$60K - $80K",1,1,5131,1484,0.75,7432,92,0.559,0.289
3251,0,49,"M","Graduate","$40K - $60K",3,3,2822,1501,1.043,4344,68,1.194,0.532
2933,0,43,"M","Graduate","$80K - $120K",4,3,34516,1440,1.117,1575,34,2.4,0.042
5979,0,55,"M","Graduate","$80K - $120K",4,3,2801,2403,0.884,1526,44,1,0.858
5058,0,49,"F","Uneducated","Unknown",4,2,2542,850,0.723,4972,79,0.717,0.334
2894,1,48,"M","Unknown","$80K - $120K",5,2,12073,0,0.541,2400,52,0.793,0
7044,0,43,"F","Graduate","Unknown",6,6,4607,2440,0.646,4825,77,0.878,0.53
6707,1,50,"M","Graduate","$120K +",1,3,1656,0,0.626,2073,44,0.833,0
6034,1,45,"F","High School","Unknown",6,2,4549,1631,0.779,2240,34,0.478,0.359
9854,0,48,"F","Uneducated","$40K - $60K",2,2,21754,0,0.83,9105,104,0.763,0
6774,0,38,"F","High School","Less than $40K",4,3,1854,0,0.885,5245,89,0.712,0
5266,0,56,"M","High School","$60K - $80K",5,1,9226,1233,1.521,1626,29,1.636,0.134
7937,0,37,"F","High School","Less than $40K",5,3,2352,0,1.467,2344,48,0.92,0
7955,0,52,"F","Unknown","$40K - $60K",4,2,4259,0,0.59,4389,80,0.702,0
2876,0,40,"M","Graduate","Less than $40K",3,1,2577,1812,0.666,4134,62,0.824,0.703
3398,0,36,"M","Post-Graduate","$60K - $80K",4,2,1606,798,0.59,2229,45,1.045,0.497
9178,0,56,"F","High School","Less than $40K",4,3,2238,1324,0.762,4108,72,0.846,0.592
2023,0,54,"M","High School","$80K - $120K",4,2,9519,1936,0.929,2489,62,1,0.203
9973,0,37,"M","Unknown","$40K - $60K",4,1,3664,1449,0.712,4413,65,0.548,0.395
1182,0,42,"M","Uneducated","$80K - $120K",5,1,16054,0,0.446,3449,75,0.705,0
8787,0,42,"M","High School","$80K - $120K",3,2,7253,0,0.644,7595,83,0.804,0
807,0,36,"F","High School","Less than $40K",6,1,4331,1445,1.07,2053,33,1.75,0.334
7849,0,51,"F","Doctorate","Less than $40K",3,2,1438.3,0,0.872,4211,64,0.778,0
9498,0,43,"M","Unknown","$80K - $120K",5,2,13625,0,0.93,3902,62,0.632,0
334,0,49,"F","High School","Less than $40K",4,2,1656,929,0.898,4408,79,0.681,0.561
5350,0,43,"M","Unknown","$40K - $60K",5,3,8129,1799,0.566,1402,33,0.737,0.221
7345,0,41,"F","Graduate","Less than $40K",2,1,11463,0,0.908,14511,105,0.721,0
9119,0,37,"F","High School","Less than $40K",6,3,1879,1486,0.836,5202,88,0.692,0.791
6141,1,46,"M","Post-Graduate","$40K - $60K",3,4,2344,0,0.412,2098,31,0.409,0
4482,0,60,"M","Graduate","Less than $40K",5,3,3980,930,0.72,4449,82,0.608,0.234
7616,1,33,"M","College","$120K +",2,1,34516,0,1.004,9338,73,0.622,0
4429,0,53,"M","High School","$60K - $80K",4,1,15583,0,0.873,3938,69,1.091,0
9313,0,52,"M","Graduate","$80K - $120K",2,5,33256,928,0.694,7796,97,0.59,0.028
5089,0,42,"M","Unknown","$60K - $80K",5,3,15088,865,0.939,1107,21,1.625,0.057
5296,0,54,"F","High School","Less than $40K",6,4,2797,1627,0.413,1566,36,0.714,0.582
8903,0,41,"M","College","$80K - $120K",1,2,5037,1670,0.787,4379,67,0.811,0.332
6152,0,52,"M","Unknown","Less than $40K",3,3,2846,1606,0.697,5092,86,0.792,0.564
7328,0,51,"F","Unknown","Less than $40K",4,3,1515,996,0.558,4324,89,0.854,0.657
406,0,47,"F","Uneducated","$40K - $60K",3,1,14241,2081,0.909,1581,44,0.833,0.146
9397,0,61,"M","Uneducated","$80K - $120K",6,2,21740,0,0.676,1755,54,0.543,0
4057,0,43,"F","Graduate","Less than $40K",6,3,2624,1117,0.826,3929,67,0.595,0.426
4866,0,49,"M","Graduate","$120K +",1,1,34516,1316,0.569,3863,69,0.643,0.038
5256,0,54,"F","College","Less than $40K",4,2,3084,2517,0.651,1446,22,0.833,0.816
398,1,57,"F","High School","Less than $40K",4,3,2347,1900,0.845,2447,47,0.621,0.81
5040,0,32,"F","High School","Less than $40K",6,2,2778,2312,0.727,1680,33,1.062,0.832
6671,0,48,"M","High School","$60K - $80K",5,4,2384,1596,0.831,3149,59,0.903,0.669
8050,0,39,"M","Graduate","$80K - $120K",6,3,17438,0,1.078,1860,37,0.85,0
1078,0,36,"M","Uneducated","$80K - $120K",6,3,21434,1345,0.603,2143,46,0.586,0.063
2416,0,56,"M","Uneducated","$60K - $80K",5,3,2253,1375,0.388,1324,38,0.31,0.61
9909,0,42,"F","College","Less than $40K",2,3,4150,2517,0.619,4620,76,1.171,0.607
7164,0,51,"F","High School","Less than $40K",6,3,2943,2131,0.597,4554,75,0.562,0.724
151,0,42,"F","College","Less than $40K",5,4,2238,1693,0.714,5339,86,0.458,0.756
4649,0,44,"M","Graduate","Less than $40K",5,2,2978,2134,0.579,1413,46,0.394,0.717
5569,0,40,"M","High School","$80K - $120K",3,2,11502,2066,0.889,4786,85,1.125,0.18
10040,1,32,"F","Uneducated","Unknown",6,3,8791,0,0.894,2579,51,0.594,0
634,0,53,"M","Post-Graduate","$80K - $120K",5,2,9106,975,0.588,3863,74,0.644,0.107
1557,0,35,"F","Graduate","Less than $40K",5,1,7583,1619,1.468,2229,53,1.208,0.214
809,0,60,"M","Unknown","$60K - $80K",4,3,10698,1790,0.981,4095,67,0.914,0.167
2607,0,31,"M","Graduate","$80K - $120K",1,1,21615,570,0.737,16464,103,0.717,0.026
1714,1,42,"F","Graduate","Less than $40K",2,4,5230,2517,0.937,9495,61,0.605,0.481
8881,0,30,"F","Graduate","Less than $40K",4,2,1438.3,0,0.6,4322,68,0.619,0
8133,0,47,"F","Graduate","$40K - $60K",1,2,2977,1927,0.731,5217,88,0.725,0.647
2063,0,50,"M","Unknown","$80K - $120K",2,3,24533,1813,0.745,8436,77,0.878,0.074
886,1,44,"F","Graduate","$40K - $60K",6,3,1452,0,0.553,2287,42,0.5,0
8704,1,47,"M","Graduate","$40K - $60K",4,3,1889,0,0.874,2479,46,0.533,0
1024,0,34,"F","Unknown","Less than $40K",6,3,6131,1270,0.913,2825,93,0.824,0.207
2280,0,43,"F","Unknown","Less than $40K",1,3,2248,1853,0.666,7739,101,0.906,0.824
138,0,45,"F","Graduate","Less than $40K",1,1,4977,1411,0.652,4182,85,0.848,0.284
1354,0,52,"M","High School","$60K - $80K",6,3,2597,1740,0.71,5037,80,0.778,0.67
5732,0,50,"M","High School","$80K - $120K",3,1,34516,1260,0.588,1504,34,0.789,0.037
8552,0,49,"M","Uneducated","$80K - $120K",2,1,3090,0,0.769,14198,101,0.804,0
395,0,45,"F","High School","Less than $40K",4,1,1640,999,0.811,4597,77,0.878,0.609
982,0,47,"M","College","$60K - $80K",2,1,34516,1349,0.674,8582,106,0.767,0.039
5452,0,46,"M","College","$120K +",5,1,27378,1893,0.432,3934,78,0.592,0.069
3790,0,59,"F","Doctorate","Less than $40K",3,3,2687,2452,0.817,4697,81,0.761,0.913
2471,0,45,"F","Graduate","Less than $40K",2,1,4010,2517,0.71,14354,101,0.629,0.628
6085,0,57,"M","High School","$80K - $120K",6,3,8026,2202,0.586,4072,72,0.6,0.274
5437,1,47,"F","High School","Unknown",3,3,34516,2517,0.618,2691,42,0.5,0.073
2455,0,31,"M","Unknown","$40K - $60K",5,1,13427,1562,0.537,13117,108,0.714,0.116
9357,0,40,"F","Uneducated","Unknown",3,1,3056,2038,0.675,4734,73,0.659,0.667
8376,0,42,"F","Unknown","Unknown",3,1,7762,1319,0.793,5153,77,0.75,0.17
3213,0,51,"F","Uneducated","Less than $40K",5,3,3747,2268,0.709,4609,87,0.74,0.605
2092,0,47,"M","High School","$80K - $120K",3,2,23424,2517,0.762,3537,73,0.738,0.107
3196,0,30,"F","Graduate","Less than $40K",3,2,4868,1090,0.679,2907,69,0.816,0.224
9962,1,49,"F","Unknown","Less than $40K",6,3,2910,0,0.789,2648,41,0.464,0
2588,0,46,"M","Unknown","$60K - $80K",6,3,5735,2410,0.616,3908,75,0.63,0.42
6918,0,42,"F","Unknown","Less than $40K",3,3,1438.3,0,0.72,4154,78,0.814,0
4213,0,50,"M","Graduate","$80K - $120K",6,3,11882,1472,0.413,3291,62,0.722,0.124
9278,0,38,"F","High School","Unknown",5,2,14831,1302,0.916,4467,73,0.698,0.088
8562,0,51,"F","College","$40K - $60K",4,2,1438.3,0,0.803,2207,68,0.511,0
620,1,40,"M","Unknown","$60K - $80K",4,3,18975,0,1.028,4803,65,0.548,0
9432,1,65,"F","College","Less than $40K",3,4,10885,1758,0.8,2291,39,0.773,0.162
8337,0,54,"M","Unknown","$120K +",1,1,3731,1903,0.915,4667,88,0.725,0.51
8827,0,51,"M","Graduate","$40K - $60K",3,5,16277,1170,0.95,3634,62,0.676,0.072
7296,0,41,"M","Graduate","$60K - $80K",5,2,2122,1189,0.398,4379,45,1.143,0.56
3048,1,46,"M","College","$60K - $80K",4,2,1681,0,0.464,1953,48,0.5,0
7449,0,55,"F","Uneducated","$40K - $60K",4,1,3011,2138,0.565,4439,75,0.875,0.71
1445,0,44,"F","Post-Graduate","Less than $40K",5,2,1924,1471,1.485,3521,58,1,0.765
7088,0,52,"F","Uneducated","Less than $40K",3,3,6897,640,1.052,2781,57,0.839,0.093
1309,0,54,"M","Graduate","$60K - $80K",6,2,3583,0,1.088,1065,28,1.545,0
8703,0,59,"M","Graduate","$40K - $60K",2,1,11808,0,0.813,13751,113,0.823,0
5011,0,43,"M","College","$60K - $80K",4,3,9382,1455,0.482,3412,71,0.821,0.155
9990,1,40,"F","Graduate","Less than $40K",4,3,3319,0,0.262,4840,44,0.375,0
4977,0,51,"F","Graduate","Unknown",3,3,8365,1504,0.679,4778,88,0.956,0.18
9921,0,37,"M","Uneducated","$60K - $80K",5,3,7959,998,0.773,1855,29,0.318,0.125
1931,0,45,"F","Graduate","$40K - $60K",4,5,1533,728,0.906,4659,83,0.766,0.475
6126,0,39,"M","Uneducated","$40K - $60K",4,2,4323,1267,1.102,3078,58,0.611,0.293
6872,0,49,"M","Unknown","$80K - $120K",2,2,29690,2517,0.769,7640,86,0.564,0.085
875,0,45,"F","High School","Less than $40K",1,2,4174,2507,0.832,7905,86,0.755,0.601
6387,0,38,"F","Uneducated","$40K - $60K",5,2,12228,2137,0.553,3831,68,0.511,0.175
3569,0,50,"F","High School","Unknown",5,2,9716,874,0.775,5007,91,0.655,0.09
9075,0,38,"F","Uneducated","Less than $40K",6,2,5645,0,1.05,1527,32,0.455,0
2190,0,34,"M","High School","$40K - $60K",4,1,4353,1655,0.806,2664,81,0.884,0.38
459,0,37,"M","High School","$60K - $80K",5,2,3433,964,0.526,4444,87,0.642,0.281
3197,0,38,"M","Graduate","$60K - $80K",5,3,23391,1977,0.558,4106,85,0.809,0.085
1793,0,52,"M","High School","$80K - $120K",6,2,2650,1049,0.874,4218,64,0.73,0.396
1596,0,35,"F","High School","Unknown",2,1,16950,0,0.625,7821,97,0.672,0
5092,0,35,"F","College","$40K - $60K",4,1,2939,1865,0.932,2077,47,0.679,0.635
4854,0,42,"F","Graduate","Less than $40K",3,2,1853,0,0.846,4544,72,0.565,0
1900,1,41,"M","Graduate","$60K - $80K",5,2,5045,2080,0.738,2042,40,0.481,0.412
7157,0,36,"M","College","$80K - $120K",5,2,5821,764,0.688,5291,96,0.684,0.131
1945,0,55,"M","Post-Graduate","$60K - $80K",3,2,4998,1626,0.695,4329,61,0.694,0.325
3651,1,40,"M","Unknown","$60K - $80K",6,2,12283,0,0.413,1993,41,0.323,0
7532,0,49,"M","Uneducated","$80K - $120K",2,3,8561,915,0.637,7341,79,0.491,0.107
7379,0,41,"F","Graduate","Less than $40K",3,3,2069,1393,0.875,4962,70,0.75,0.673
4971,0,47,"M","High School","$60K - $80K",6,1,1943,1654,0.648,3392,70,0.591,0.851
7613,1,40,"M","Post-Graduate","$60K - $80K",6,3,18386,890,0.361,1698,43,0.483,0.048
5922,0,35,"F","Graduate","$40K - $60K",4,2,2523,1877,1.631,2005,50,1.174,0.744
150,0,60,"M","Uneducated","$60K - $80K",3,1,10264,2073,0.62,1685,45,0.364,0.202
5206,0,63,"M","High School","$80K - $120K",3,3,10257,1021,0.467,1508,30,0.429,0.1
6049,0,43,"M","Unknown","$40K - $60K",6,1,4402,1640,0.719,1774,46,1,0.373
6295,0,34,"M","College","$80K - $120K",3,1,24765,1999,1.013,1544,36,0.714,0.081
7391,0,46,"F","Post-Graduate","Less than $40K",4,2,2888,1641,0.976,3703,61,1.179,0.568
5152,1,27,"M","High School","$60K - $80K",2,3,13303,2517,0.929,10219,85,0.809,0.189
6330,0,49,"M","Doctorate","$40K - $60K",5,1,1438.3,0,0.562,3691,77,0.51,0
4704,1,39,"M","High School","$80K - $120K",2,1,8656,0,0.893,8056,89,0.935,0
8060,0,53,"F","Uneducated","$40K - $60K",1,3,2772,2414,0.805,5313,68,1.194,0.871
9965,0,45,"M","High School","$60K - $80K",4,1,17576,0,0.667,3494,67,0.718,0
8048,0,43,"M","College","$60K - $80K",5,2,19044,0,0.721,1780,44,0.76,0
1925,0,64,"F","Unknown","$40K - $60K",6,3,2895,2517,0.322,1541,37,0.609,0.869
8357,1,41,"F","Graduate","Less than $40K",6,2,1655,0,0.496,2156,37,0.194,0
1534,0,45,"F","Graduate","Less than $40K",5,3,5371,1499,0.737,3282,66,0.65,0.279
4912,0,51,"F","Unknown","Less than $40K",3,2,6006,1576,0.504,3199,65,0.548,0.262
1610,0,49,"F","High School","Less than $40K",5,3,2574,1555,0.583,4134,62,0.55,0.604
3087,0,38,"F","Uneducated","Less than $40K",3,3,3590,1924,0.573,1472,37,0.762,0.536
4121,0,44,"M","Graduate","$80K - $120K",4,3,26856,0,0.581,4222,75,0.471,0
1258,1,53,"F","High School","Less than $40K",3,3,1438.3,0,0.387,1587,42,0.448,0
2007,1,59,"F","Post-Graduate","$40K - $60K",1,4,1438.3,0,1.038,689,23,0.353,0
1090,0,56,"F","Unknown","Less than $40K",6,2,1971,922,0.762,4827,84,0.867,0.468
3669,1,44,"F","Graduate","Less than $40K",3,2,3101,0,0.66,2512,37,0.37,0
7983,0,55,"M","Post-Graduate","$80K - $120K",5,3,9959,1890,1.043,2041,45,0.875,0.19
2452,0,59,"M","College","$40K - $60K",6,3,7251,1603,0.591,1300,36,0.8,0.221
2398,0,54,"M","Unknown","$80K - $120K",6,2,30011,1232,0.944,1676,41,0.783,0.041
8000,0,53,"F","High School","Unknown",3,1,7469,1294,0.869,15212,124,0.746,0.173
4164,0,50,"M","Post-Graduate","$80K - $120K",6,1,9873,1276,0.791,4613,82,0.745,0.129
1167,0,55,"M","Graduate","$120K +",2,2,34516,2443,0.827,8765,105,0.721,0.071
8631,0,63,"M","Unknown","$60K - $80K",5,4,25502,1450,0.797,4323,81,0.688,0.057
4962,0,40,"M","Unknown","Less than $40K",5,3,1438.3,860,0.79,4655,82,0.864,0.598
2379,0,38,"F","Graduate","Less than $40K",6,2,2699,564,0.683,4813,78,0.814,0.209
8417,0,44,"M","Graduate","$60K - $80K",2,2,2758,461,0.58,4244,96,0.778,0.167
1712,0,51,"F","Graduate","Less than $40K",5,3,1571,0,0.89,4580,74,1.056,0
6701,0,47,"F","Unknown","Less than $40K",4,2,1738,0,1.124,2572,62,0.938,0
1668,0,40,"F","Graduate","Less than $40K",5,1,2694,1833,1.044,3366,56,1.074,0.68
8040,0,47,"M","Uneducated","$60K - $80K",4,1,9300,769,0.68,3651,67,0.718,0.083
3794,1,47,"F","College","Less than $40K",6,3,1781,0,0.693,2196,35,0.75,0
2207,1,49,"F","Graduate","Less than $40K",2,3,11059,0,0.99,9524,80,0.905,0
8321,0,37,"M","Uneducated","Unknown",5,3,7147,1424,0.821,2539,50,1.273,0.199
7092,0,34,"F","Doctorate","Less than $40K",3,3,1438.3,0,0.892,3044,91,0.896,0
4251,0,41,"F","High School","Less than $40K",6,2,4953,991,0.342,4183,67,0.489,0.2
4833,0,51,"F","High School","Less than $40K",2,1,5625,1640,0.893,7890,75,0.875,0.292
4654,0,39,"F","Graduate","Less than $40K",5,3,8325,2048,0.92,14571,91,0.655,0.246
591,1,56,"F","Graduate","Unknown",3,3,10016,1872,0.735,2804,37,0.542,0.187
6115,0,39,"F","Doctorate","Less than $40K",6,4,2001,1430,0.555,4509,69,0.683,0.715
2298,0,51,"M","Unknown","$80K - $120K",4,3,3554,1563,0.893,3640,59,0.735,0.44
6221,0,47,"M","Unknown","$60K - $80K",3,2,13867,0,0.659,4297,68,0.744,0
1984,1,53,"F","Doctorate","Unknown",1,2,1438.3,0,0.644,807,22,0.692,0
921,0,29,"F","Uneducated","Less than $40K",2,1,2832,1819,0.674,4761,75,0.744,0.642
3459,0,56,"F","Uneducated","Less than $40K",4,1,3652,1351,0.836,1561,39,0.625,0.37
2082,0,44,"M","Graduate","$60K - $80K",3,3,10534,0,0.985,3456,72,0.636,0
6737,0,49,"F","Unknown","Less than $40K",5,3,3261,814,0.85,4739,89,0.712,0.25
6756,0,51,"M","College","$80K - $120K",3,3,21543,0,0.53,3928,82,0.64,0
9330,0,49,"M","Uneducated","Less than $40K",6,1,7232,1830,1.002,4337,71,0.543,0.253
9629,0,45,"F","Unknown","Less than $40K",3,2,3682,0,0.797,4015,77,0.51,0
668,1,52,"F","Graduate","Less than $40K",5,3,2566,1079,0.554,2340,36,0.5,0.42
6668,0,48,"M","Graduate","$60K - $80K",4,5,14951,1413,0.784,3899,68,1.061,0.095
6686,0,42,"F","Graduate","Less than $40K",3,2,2555,1587,1.088,4193,79,0.881,0.621
7485,0,38,"F","Doctorate","Less than $40K",4,2,4002,1402,0.579,2114,53,0.514,0.35
10034,1,38,"M","College","$60K - $80K",6,3,12050,1821,0.63,2381,40,0.481,0.151
1066,1,47,"M","Graduate","$40K - $60K",2,3,9080,2174,0.653,2098,46,0.586,0.239
972,0,48,"F","Graduate","Less than $40K",3,2,3117,1603,1.167,1437,37,0.609,0.514
6780,1,55,"M","High School","$60K - $80K",2,2,1438.3,0,1.037,888,18,1.25,0
5472,0,48,"F","Doctorate","Unknown",6,1,2845,919,0.652,2635,43,1.263,0.323
5144,0,57,"F","High School","Less than $40K",4,1,2454,1610,1.036,4983,79,0.795,0.656
4031,0,28,"F","Graduate","Less than $40K",4,1,2543,1156,0.641,3864,64,0.684,0.455
57,0,35,"M","High School","$40K - $60K",3,3,2967,1843,0.681,1673,58,0.526,0.621
6404,1,41,"F","Graduate","$40K - $60K",5,2,2990,1828,0.488,2265,41,0.414,0.611
2806,0,42,"M","Uneducated","$120K +",3,4,34516,2070,0.88,13781,102,0.545,0.06
6431,0,58,"M","Graduate","$120K +",6,2,31680,1812,0.483,1121,25,0.562,0.057
1847,0,51,"M","Post-Graduate","$80K - $120K",4,2,4830,1970,0.799,4850,80,0.633,0.408
4375,1,46,"F","Graduate","Less than $40K",2,2,8551,1067,0.931,1097,32,0.778,0.125
9537,0,42,"M","Doctorate","$80K - $120K",6,1,4728,1386,0.756,4077,70,0.628,0.293
5346,0,58,"M","Uneducated","$80K - $120K",6,3,3785,1935,1.558,1824,49,1.45,0.511
3045,0,46,"F","College","$40K - $60K",6,1,3276,1915,0.672,4264,76,0.617,0.585
3858,0,64,"F","Graduate","Less than $40K",5,3,6663,765,1.129,4583,78,0.857,0.115
6355,0,41,"M","High School","$80K - $120K",4,3,27756,1789,0.75,994,24,0.846,0.064
5325,1,46,"F","High School","Unknown",4,3,29543,1164,0.717,1015,27,0.35,0.039
2038,0,42,"M","Post-Graduate","$40K - $60K",3,3,2533,1126,0.788,3436,74,0.574,0.445
4918,0,62,"F","Uneducated","Less than $40K",6,1,12590,931,1.068,4182,78,0.696,0.074
4391,0,42,"F","Uneducated","Unknown",5,5,4708,0,0.718,4597,89,0.679,0
3828,0,42,"F","Graduate","Less than $40K",4,2,2797,1943,0.899,4917,66,0.784,0.695
7201,0,51,"F","Unknown","Less than $40K",1,2,7098,1829,0.557,13139,102,0.789,0.258
1743,0,57,"F","Unknown","Less than $40K",3,1,2159,1004,0.603,1353,30,0.111,0.465
9460,0,34,"F","High School","Unknown",2,2,32056,1668,0.771,12595,106,0.683,0.052
1728,0,37,"F","Graduate","$40K - $60K",4,3,1920,0,0.688,4715,81,0.841,0
4800,1,33,"F","Uneducated","$40K - $60K",4,2,1843,1293,0.349,2077,61,0.694,0.702
3393,0,50,"M","High School","$80K - $120K",2,2,34516,0,0.627,15059,118,0.735,0
2803,0,49,"M","Graduate","$80K - $120K",2,2,9959,2216,0.747,15139,90,0.837,0.223
8956,1,39,"F","Graduate","Unknown",3,2,1575,592,0.236,644,15,0.154,0.376
3424,0,50,"F","Uneducated","Less than $40K",6,2,4204,499,0.635,4740,67,0.523,0.119
4384,0,50,"F","Graduate","Less than $40K",5,2,3510,1881,0.66,3808,81,0.884,0.536
3410,0,56,"F","Uneducated","Unknown",5,2,5261,1966,0.672,4448,86,0.792,0.374
5307,0,30,"F","Graduate","Less than $40K",3,1,3213,2517,1.275,2666,46,1,0.783
8210,0,53,"F","College","Unknown",3,2,4941,1867,0.73,5104,87,0.851,0.378
6759,0,36,"M","College","$60K - $80K",5,3,4511,754,0.905,2597,71,0.919,0.167
1050,0,38,"F","Uneducated","Unknown",2,3,5666,1393,0.84,5015,90,0.915,0.246
3400,0,53,"F","College","Less than $40K",1,3,1665,964,1.049,4881,75,0.923,0.579
2077,0,37,"F","College","Less than $40K",2,1,2939,1388,0.69,5076,84,0.826,0.472
5521,0,42,"F","Uneducated","Unknown",5,1,4568,2025,0.849,4869,85,0.848,0.443
8828,0,59,"F","College","$40K - $60K",3,2,1438.3,0,0.896,4457,79,0.927,0
2285,0,35,"F","High School","Unknown",5,3,4588,2517,1.525,2442,62,0.632,0.549
4415,0,48,"M","Graduate","$80K - $120K",6,3,12882,1402,0.783,4407,84,0.647,0.109
3886,0,49,"F","Uneducated","$40K - $60K",2,1,7045,1293,0.628,7381,98,0.607,0.184
7525,0,47,"M","High School","$40K - $60K",3,2,16138,1249,1.01,1198,33,0.833,0.077
